Groep,Geslacht,Leeftijd,Lengte,Gewicht,Profiel,Woonsituatie,Reistijd,Vervoermiddel,TijdStudie,TevTijdStudie,CijferStudie,Bijbaan,TijdBijbaan,StudLeven,SocialMedia,TijdSocialMedia,ManierSocialMedia,CijferLeven,TijdBachelor,OP1,OP2,OP3,CON1,CON2,CON3,OP4,CON4,OP5,CON5,OP6,OP7,CON6,CON7,OP8,CON8,OP9,CON9,OP10,CON10,CON,OP
3,2,18,170,78,3,1,110,5,40,4,6,2,1,3,"Facebook, Instagram, Snapchat",1,"Computer / Laptop, Telefoon",2,3,2,4,3,5,4,4,4,2,3,5,1,3,4,2,5,3,2,4,2,3,32,31
3,1,18,182,61,2,1,120,5,22,3,7,1,3,3,"Facebook, Instagram, Snapchat",4,"Computer / Laptop, Telefoon",8,3,5,2,5,4,2,4,1,2,4,4,3,4,3,4,3,3,3,3,3,5,26,25
3,2,18,172,70,2,1,50,5,35,4,7,1,4,4,"Facebook, Instagram, Snapchat",4,"Computer / Laptop, Telefoon",8,3,4,3,1,1,5,5,1,1,4,2,1,3,4,1,4,1,5,5,2,3,46,26
3,1,19,180,70,4,1,75,5,30,2,6,1,3,4,Facebook,2,"Computer / Laptop, Telefoon",8,4,5,2,3,2,3,2,1,2,3,2,1,2,4,4,4,3,4,1,3,4,29,20
4,1,25,185,83,4,2,45,4,30,2,6,1,3,3,Facebook,1,"Computer / Laptop, Telefoon",7,0,5,4,2,3,3,3,2,3,4,3,1,4,2,4,2,4,3,3,2,3,27,31
3,1,18,171,80,3,1,45,4,30,4,7,2,1,4,"Facebook, Twitter, Google+",1,"Computer / Laptop, Telefoon",7,3,5,2,2,2,3,4,1,2,4,2,1,2,3,4,3,2,4,4,1,2,36,25
1,1,27,178,69,2,5,35,3,28,4,8,1,5,1,"Facebook, Google+",1,"Computer / Laptop, Telefoon, Tablet",9,3,2,3,2,2,4,5,4,1,5,2,2,4,5,2,2,1,1,5,1,3,44,40
3,1,18,185,60,3,1,120,5,35,4,8,2,1,3,"Facebook, Snapchat",1,"Computer / Laptop, Telefoon",7,3,2,3,3,3,3,4,3,1,3,2,4,5,4,2,1,2,3,2,2,2,37,37
3,1,20,178,75,2,1,73,5,25,4,7,2,1,3,"Facebook, Instagram, Snapchat",3,"Computer / Laptop, Telefoon",8,4,5,4,2,5,2,4,2,4,2,2,3,3,3,2,4,4,4,2,2,5,25,27
3,2,19,172,60,4,3,35,2,30,5,8,1,5,3,"Facebook, Instagram, LinkedIn",2,"Computer / Laptop, Telefoon",6,4,2,2,2,4,3,3,5,1,4,2,5,4,4,2,2,2,1,5,1,5,35,42
3,2,18,172,50,1,1,75,5,40,1,6,1,3,3,"Facebook, Instagram, Snapchat",3,"Computer / Laptop, Telefoon",7,3,1,3,4,3,5,4,4,1,3,1,3,3,5,1,4,1,2,4,2,3,44,33
